	Last updated on 23/10/2024	
1686	862031000000107	Bowel cancer screening programme invitation letter sent
1687	407652002	Main spoken language Greek
1688	134420004	No suicidal thoughts (situation)
1689	167666002	Fecal occult blood requested (situation)
1690	183444007	Referral for further care
1691	896051000000103	Herpes zoster vaccination invitation third letter
1692	968521000000109	Inappropriate use of general practitioner service (finding)
1693	129078005	Dependent in toilet (finding)
1694	1326161000000109	Inhaled corticosteroid not indicated (situation)
1695	871291000000103	Referral for participation in research study
1696	810961000000103	Diabetes self-management plan review (procedure)
1697	168541005	Plain x-ray result normal
1698	170727003	Registered blind (finding)
1699	288749000	Ability to communicate about self (observable entity)
1700	1531000000106	SC1 self-certificate advised (finding)
1701	270442000	Asthma monitoring check done
1702	1.08643E+15	First diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination declined (situation)
1703	324861000000109	Review of patient laboratory test report (procedure)
1704	395053006	Continence education (procedure)
1705	160680006	Fully mobile (finding)
1706	391281002	Mental health assessment
1707	413974004	Depression medication review
1708	719328007	Medication review done by doctor
1709	76334006	Immunotherapy
1710	21801000000106	Equipment loaned to patient (finding)
1711	860897009	Injection site eruption (disorder)
1712	20295000	Divorced (finding)
1713	308465004	Referral to optometrist
1714	160268005	No family history: Allergy (situation)
1715	861491000000107	Diabetic foot screening invitation
1716	977551000000106	Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census
1717	365791000000102	No respiratory virus detected (finding)
1718	163020007	On examination - blood pressure reading (finding)
1719	198451000000103	Referral to hospital phlebotomist (procedure)
1720	185674005	BP abnormal - 2nd recall
1721	171012002	Pre-pregnancy education
1722	513631000000106	Declined consent for SMS text messaging
1723	1053791000000108	Signposting to IAPT service
1724	771901000000100	Asthma causes night time symptoms 1 to 2 times per week
1725	946141000000102	Procedure generated from secondary care done by practice (situation)
1726	1321561000000109	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgM detection result negative
1727	444069008	Administration of vitamin D supplement (procedure)
1728	288576002	Unable to communicate (finding)
1729	162156001	Vaginal discharge symptom (finding)
1730	160303001	Family history of diabetes mellitus (situation)
1731	414441001	Hypothyroidism monitoring second letter (procedure)
1732	199081000000108	Referral to non-NHS mental health community service
1733	1321641000000107	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result unknown
1734	756001000000107	Intervention for risk to health associated with overweight and obesity, general advice on healthy weight and lifestyle
1735	301743007	Able to perform information technology activities
1736	185284002	Seen by dietitian
1737	520421000000106	Preferred method of communication: Makaton (finding)
1738	716186003	No Known Allergy
1739	1362861000000107	Outcomes Registry for Better Informed Treatment of Atrial Fibrillation bleeding risk score (observable entity)
1740	425592004	Peak flow technique education (procedure)
1741	407657008	Main spoken language Turkish (finding)
1742	837491000000107	High risk of diabetes mellitus
1743	516181000000108	Impaired glucose tolerance monitoring invitation second letter (procedure)
1744	312894000	Osteopenia (disorder)
1745	925681000000105	Latent tuberculosis screening invitation SMS text
1746	955641000000103	Influenza vaccination given by other healthcare provider
1747	1092821000000102	Invitation to join patient participation group declined
1748	711551000000103	Cervical smear screening appointment reminder (procedure)
1749	161524000	History of hay fever (situation)
1750	413137002	Risk management administration
1751	526151000000109	Referral to exercise on referral programme
1752	444020006	Maternal postnatal examination declined (situation)
1753	198891000000109	Minor surgery information leaflet given (situation)
1754	160573003	Alcohol consumption
1755	161120002	Secondary school (environment)
1756	200491000000109	Influenza vaccination invitation second letter sent (finding)
1757	224491000	Carer is willing to care
1758	113111000000104	Referral to walk in centre (procedure)
1759	273384008	Consumer satisfaction questionnaire
1760	1325721000000109	Personalised Care and Support Planning offered (situation)
1761	315579002	Main spoken language Polish
1762	766701000000102	Lithium therapy record book issued (finding)
1763	912761000000108	Long term condition care planning invitation third letter
1764	698471002	Patient advised about weight management
1765	247411000000106	Gonorrhoea test positive (finding)
1766	1145032005	SARS-CoV-2 mRNA vaccine declined
1767	271390004	Islam (religion/philosophy)
1768	281017002	Difficulty initiating bladder emptying
1769	1037431000000105	Recommendation to self-refer for counselling (procedure)
1770	1023491000000104	Urine albumin:creatinine ratio (observable entity)
1771	710631000000102	Prostate specific antigen monitoring invitation (procedure)
1772	413744002	Cancer screening followup
1773	160579004	Stopped drinking alcohol (finding)
1774	4386001	Bronchospasm (finding)
1775	213020009	Allergy to egg protein (finding)
1776	170775008	Diabetes: shared care programme
1777	765021002	Vegetarian diet (regime/therapy)
1778	711591000000106	Cervical smear screening third letter (procedure)
1779	160557009	Baptist, follower of religion (person)
1780	431314004	Peripheral oxygen saturation (observable entity)
1781	165232002	Urinary incontinence (finding)
1782	169445007	Contraception not needed (finding)
1783	315581000	Main spoken language Punjabi
1784	197971000000101	Did not attend blood test
1785	867711000000100	First Primary Immunisation Invitation third letter
1786	413306008	Informal referral - signposted to other agency
1787	838071000000100	Provision of written information about screening for cancer (procedure)
1788	1.30057E+15	Moderate risk category for developing complication from COVID-19 infection
1789	48023004	Breast self-examination technique education
1790	224492007	Carer is committed to care
1791	1771651000000105	Dissent withdrawn to receive invitation from general practitioner practice to participate in research (finding)
1792	183628009	Follow-up 6 weeks
1793	1104621000000103	Cervical cancer screening offered
1794	243857008	Epilepsy monitoring status (finding)
1795	527131000000100	Pregnancy advice for patients with epilepsy declined (situation)
1796	1326871000000108	Provision of steroid emergency card
1797	1026201000000102	Meningitis ACW and Y vaccination invitation (procedure)
1798	199331000000106	Did not attend influenza vaccination appointment
1799	59021001	Angina decubitus (disorder)
1800	750451000000101	Telehealth monitoring declined (situation)
1801	715051000000108	Hypertension screening administration
1802	171047005	Drugs of addiction education (procedure)
1803	288531000119103	Problem related to social environment (finding)
1804	386468009	Health education - sexual
1805	182774007	Consent to donate organs given (finding)
1806	183544005	Referral to ear, nose and throat service (procedure)
1807	406162001	Asthma management
1808	407618000	1 to 12 seizures a year (finding)
1809	39326911000001101	COVID-19 mRNA (nucleoside modified) Vaccine Moderna 0.1mg/0.5mL dose dispersion for injection multidose vials (Moderna, Inc) (product)
1810	866251000000106	Pertussis vaccination in pregnancy invitation third letter (procedure)
1811	870421000000106	Urgent appointment letter sent to patient (finding)
1812	401135008	Health education - asthma
1813	977851000000109	Other ethnic group: Arab - Northern Ireland ethnic category 2011 census
1814	105542008	Current non-drinker of alcohol / does not drink alcohol / teetotaller
1815	913981000000106	Pulmonary rehabilitation offered
1816	39327011000001102	COVID-19 mRNA (nucleoside modified) Vaccine Moderna 0.1mg/0.5ml dose dispersion for injection multidose vials (Moderna, Inc) 100 dose 10 x 10 dose vials (product)
1817	302772006	Looks ill
1818	769411000000104	Self referral to termination of pregnancy service (procedure)
1819	281239006	Exacerbation of asthma (disorder)
1820	408533004	Main spoken language Tigrinya (finding)
1821	405153007	Personal wellbeing status (observable entity)
1822	987551000000100	Active serving member of the Royal Marines Reserve (occupation)
1823	1853771000000105	Consent given to upload data to Reasonable Adjustment Digital Flag (finding)
1824	76571007	Septic shock
1825	819911000000108	Discussion about lipid lowering therapy (procedure)
1826	754161000000104	Provision of written information on inhaler technique
1827	26079004	Tremor
1828	362451000000107	Drug misuse assessment declined (situation)
1829	306170007	Refer to physiotherapist
1830	1853501000000105	RSV (respiratory syncytial virus) vaccination declined
1831	523321000000107	NHS Health Check invitation third letter
1832	783041000000106	Weight management service opportunity signposted (situation)
1833	1188231000000108	Signposting to ChatHealth text messaging service
1834	414668005	Mental health monitoring first letter
1835	773051000000102	Express consent for core and additional SCR (Summary Care Record) dataset upload
1836	160584005	Ex-moderate drinker - (3-6u/d) (finding)
1837	160582009	Ex-trivial drinker - less than 1 unit/day (finding)
1838	818091000000106	Has a paid carer (finding)
1839	927251000000109	Measles mumps and rubella booster vaccination invitation first letter (procedure)
1840	815631000000106	Asthma trigger - wind
1841	185408004	Patient made appointment (finding)
1842	185686008	Adult immunization - second call (procedure)
1843	959781000000100	Thyroid monitoring SMS text message third invitation
1844	1321091000000106	Household isolation note issued to patient
1845	401229000	Thoughts of deliberate self harm (finding)
1846	1366321000000106	Has Carer Contingency Plan (finding)
1847	72934000	Candidiasis of vagina (disorder)
1848	936721000000107	Requires contact by letter
1849	170826002	Vitamin B12 injections stopped (situation)
1850	390884006	Heart failure follow-up (finding)
1851	818161000000104	Asthma trigger - perfume
1852	1053841000000105	Signposting to Be Mindful
1853	835791000000107	Hepatitis B vaccination invitation
1854	125681006	Single person (finding)
1855	306362008	Referral to Pharmacist
1856	408562003	Email sent to outside agency
1857	774931000000108	Human papillomavirus vaccination invitation SMS text message sent
1858	286378009	Difficulty talking
1859	185702004	Breast screening – first call
1860	976951000000102	Other ethnic group: Arab - England and Wales ethnic category 2011 census
1861	1.12939E+15	Canadian Study of Health and Aging (Rockwood) Clinical Frailty Scale level 7 - severely frail (finding)
1862	385991005	Wellness promotion
1863	413606001	Average home systolic blood pressure
1864	261665006	Unknown (qualifier value)
1865	1771641000000107	Dissent to receive invitation from general practitioner practice to participate in research (finding)
1866	247631000000101	First pneumococcal conjugated vaccination (procedure)
1867	204901000000100	Reads Bulgarian
1868	416224003	Patient consent given for repeat dispensing information transfer
1869	395601000000104	Patient removal request by general practitioner (procedure)
1870	171072005	Recommend travel vaccinations
1871	523301000000103	NHS Health Check invitation second letter
1872	160270001	No significant family history of cardiovascular disease
1873	1321031000000105	Self-taken swab for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) completed
1874	429740004	Family history of malignant neoplasm of breast (situation)
1875	527111000000108	Pre-conception advice for patients with epilepsy declined (situation)
1876	414860000	No epilepsy drug side effects (finding)
1877	925621000000109	Latent tuberculosis screening invitation third letter (procedure)
1878	247141000000103	Under care of cancer primary healthcare multidisciplinary team (finding)
1879	1082451000000106	Second diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination (procedure)
1880	394688002	At low risk for primary heart disease (finding)
1881	183616001	Followup arranged
1882	715011000000109	Breast screening administration
1883	342151000000109	Patient consent given for medical photography
1884	16851000000109	Awaiting collection:letter to (finding)
1885	1326341000000105	Impairment with substantial and long term adverse effect on normal day to day activity (Equality Act 2010) (finding)
1886	18491006	Peak expiratory flow rate (observable entity)
1887	394923006	Lives in a residential home
1888	871872001	Unable to demonstrate health literacy (finding)
1889	414440000	Hypothyroidism monitoring invitation
1890	1.0247E+15	Ethnicity not stated
1891	185760009	Diabetes monitoring telephone invite (procedure)
1892	1324601000000106	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive
1893	223366009	Healthcare professional (occupation)
1894	284523002	Persistent cough (finding)
1895	1.06497E+15	Making Every Contact Count
1896	163001005	On examination - pulse regularly irregular
1897	716531000000100	Patient registration data (record artifact)
1898	131148009	Bleeding (finding)
1899	171059009	Pregnancy dental advice
1900	408364003	Patient does not understand why taking all medication (finding)
1901	306771000000105	Referral to expert patient education versus routine treatment diabetes structured education programme
1902	314940005	Suspected UTI (urinary tract infection)
1903	284775008	Unable to perform personal care activity (finding)
1904	527211000000100	Health education - structured asthma discussion (procedure)
1905	267067009	Lumbar ache - renal (finding)
1906	1053311000000103	Personal Wellbeing Score rating (observable entity)
1907	868631000000102	First rotavirus vaccination (procedure)
1908	977751000000101	Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census
1909	308439003	Refer to mid-wife
1910	770849006	Medication review invitation (procedure)
1911	956951000000104	Pertussis vaccination in pregnancy
1912	376021000000101	Long acting reversible contraception leaflet given
1913	376241000000104	Patient clinical record requested (finding)
1914	313336000	Stool sample obtained (situation)
1915	315261000000101	Advised to attend accident and emergency department (situation)
1916	716621000000101	Heart Failure monitoring third letter
1917	182884001	Drug compliance good (finding)
1918	1239391000000104	Comprehensive proactive care needs assessment (procedure)
1919	165235000	Ability to dress (observable entity)
1920	186034007	Ethnicity / related nationality data (observable entity)
1921	310432003	Well woman monitoring invitation
1922	275123009	Family history of myocardial infarction at greater than 60 years
1923	183987000	Vasectomy Planned
1924	749001000000101	Appointment (record artifact)
1925	912661000000103	Novel oral anticoagulant declined (situation)
1926	28127009	Social drinker (finding)
1927	310375005	Immunization consent given (finding)
1928	1067001000000103	Rheumatoid arthritis monitoring short message service text message first invitation
1929	394871007	Thinking about stopping smoking (finding)
1930	520471000000105	Preferred method of communication: British Sign Language (finding)
1931	763256006	AUDIT-C
1932	473391009	Asthma never causes night symptoms
1933	505681000000109	Non-smoker annual review
1934	202171000000101	Patient ethnicity unknown (finding)
1935	976751000000104	Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census
1936	134406006	Smoking reduced (finding)
1937	428801007	Ismaili Muslim
1938	224489008	Carer is unwilling to care
1939	170778005	Annual diabetic blood test
1940	1325191000000108	Remote virtual care pulse oximetry monitoring started
1941	415693003	Synchronization of repeat medication
1942	408947007	Health Education - Alcohol
1943	416409005	Refused consent for upload to local shared electronic record (finding)
1944	224484003	Is a carer/patient themselves providing care
1945	719561001	Requires contact via carer
1946	863910007	Vaccination site swelling (disorder)
1947	736082009	Referral for semen analysis
1948	786063001	Non-nicotine-filled electronic cigarette user (finding)
1949	306365005	Referral to diagnostic radiographer
1950	763896000	Declined to provide Religion or Belief
1951	862481000000103	Diabetic foot screening invitation third letter (procedure)
1952	183062005	Low cholesterol diet education
1953	182771004	Informed consent for procedure (procedure)
1954	413973005	Depression interim review
1955	911401000000108	Declined consent to receive test results by SMS text messaging
1956	400978007	Drug compliance poor (finding)
1957	801101000000107	No bleeding symptom on anticoagulation therapy (situation)
1958	441703003	Subject requests referral (situation)
1959	61310001	Nutrition education (procedure)
1960	401188002	Does not use spacer device (finding)
1961	385827001	Health promotion education
1962	168500000	Radiology result normal
1963	185604009	Cervical smear - 2nd recall
1964	963051000000100	At least 150 minutes of moderate intensity physical activity per week (finding)
1965	27113001	Body weight
1966	1110961000000108	QOF rheumatoid arthritis quality indicator-related care invitation
1967	1104901000000103	Hydroxychloroquine-induced retinal toxicity screening (procedure)
1968	160940004	House rented from private landlord (finding)
1969	185565001	Child immunization - third default recall (procedure)
1970	185703009	Breast screening – second call
1971	1321691000000102	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result unknown
1972	366171000000107	General practice physical activity questionnaire physical activity index: moderately inactive
1973	314530002	Medication review done
1974	941801000000102	Impaired glucose regulation monitoring invitation first letter
1975	1053761000000102	Signposting to Citizens Advice (procedure)
1976	395067002	Optimisation of drug dosage
1977	285035003	Unable to manage medication (finding)
1978	840261000000103	Epilepsy Management Plan Given
1979	185665008	BP screen 1st call
1980	224610007	Supporting services personnel (occupation)
1981	301111000000107	Lipid disorder monitoring declined (situation)
1982	169254007	Ultrasound scan normal
1983	353991000000105	No fear of falls (finding)
1984	195951007	Acute exacerbation of chronic obstructive airways disease (disorder)
1985	416381005	Prescription collected
1986	166271000000109	Anticoagulation monitoring enhanced services administration (procedure)
1987	119751000146104	Fever caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
1988	425578005	Carer able to cope
1989	185564002	Child immunization - second default recall
1990	718958002	Roma (ethnic group)
1991	492581000000108	Cardiovascular disease high risk review declined (situation)
1992	716291000000101	Excepted from COPD quality indicators - informed dissent
1993	760081000000107	Physiotherapy self-referral
1994	1111291000000104	Signposting to general practitioner video consultation (procedure)
1995	420300004	New York Heart Association Classification - class I
1996	1239401000000101	Targeted proactive care needs assessment
1997	516201000000107	Impaired glucose tolerance monitoring invitation third letter (procedure)
1998	240091000000105	Blurred vision
1999	871711000000103	Social prescribing declined
2000	201191000000108	Asthma trigger - cold air
2001	837351000000106	Discussion about risks of combined oral contraception
2002	228453005	Sexually active (finding)
2003	308400007	Patient Recall Procedure
2004	1049021000000107	Meningitis ACW and Y vaccination invitation third letter
2005	698610002	Education about self-management of diabetes
2006	408374000	Drug changed to cost effective alternative
2007	413174003	Statin not tolerated (situation)
2008	395108007	Main spoken language Farsi
2009	105493001	Retired, life event (finding)
2010	978051000000102	Mixed or multiple ethnic groups: any mixed or multiple ethnic group - Scotland ethnic category 2011 census
2011	503151000000105	Invitation to participate in clinical trial
2012	201031000000108	Asthma trigger - respiratory infection
2013	413761004	Carer of a person with learning disability
2014	160630000	Avoids even trivial exercise (finding)
2015	288600000	Unable to use verbal communication (finding)
2016	863894003	Injection site pruritus (disorder)
2017	407568002	Patient on maximal tolerated lipid lowering therapy (finding)
2018	921631000000109	Glasgow Antipsychotic Side-effect scale
2019	3.91148E+16	Generic COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials 10 dose (product)
2020	880991000000106	Referral to multi-agency support team
2021	134439009	Family history (FH): premature coronary heart disease
2022	205791000000105	High risk drug monitoring - primary care
2023	275942009	New medication added
2024	711581000000109	Cervical smear screening telephone invitation (procedure)
2025	185551003	Third patient recall
2026	119741000146102	Conjunctivitis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
2027	197961000000108	Did not attend travel vaccination
2028	1097581000000101	Signposting to Adult Education Service
2029	228524006	Exposed to tobacco smoke at home (finding)
2030	302870006	Hypertriglyceridemia (disorder)
2031	763254009	Epworth Sleepiness Scale score
2032	24930006	Vegan (finding)
2033	162340000	Hearing difficulty (finding)
2034	413760003	Carer of a person with chronic disease
2035	439035007	Education about sleep hygiene behavior (procedure)
2036	716021000000109	Excepted from stroke quality indicators - informed dissent
2037	719563003	Requires sighted guide
2038	711421000000107	Chronic kidney disease monitoring invitation (procedure)
2039	713701000000108	Asthma monitoring administration (record artifact)
2040	163382007	Testicular self-examination (procedure)
2041	1403051000000104	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination invitation second short message service text message
2042	1082441000000108	First diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination (procedure)
2043	414442008	Hypothyroidism monitoring third letter (procedure)
2044	310427004	Hypertension monitoring invitation
2045	88491000000102	Epilepsy limits activities (finding)
2046	921491000000108	Medical report fee paid (finding)
2047	49588008	Military services member (occupation)
2048	39115111000001106	COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials (AstraZeneca UK Ltd) 10 dose (product)
2049	1083201000000102	Signposting to community exercise group
2050	303601000000100	Telephone interpreting service used
2051	882921000000109	Consent given for sharing end of life care coordination record (finding)
2052	790101000000103	Referral for social services carer assessment
2053	370203002	Asthma causes daytime symptoms 1 to 2 times per week
2054	408347001	Drug interactions identified - drug changed (finding)
2055	361055000	Misuses drugs (finding)
2056	165332000	Laboratory test requested (situation)
2057	315045009	Advice about taking aspirin
2058	939511000000101	Registered for online access to local practice
2059	422587007	Nausea (finding)
2060	445123002	Uses speech to text reporter (finding)
2061	1362511000000107	Referral to CPCS (Community Pharmacist Consultation Service)
2062	803771000000101	Community disease modifying antirheumatic drug monitoring call (procedure)
2063	713058002	End of life care planning (procedure)
2064	520801000000100	Learning disability annual health check invitation
2065	713731000000102	Chronic obstructive pulmonary disease monitoring administration (record artifact)
2066	408289007	Refer to weight management programme
2067	450768005	International student (occupation)
2068	314191000000103	Patient registration data verified (finding)
2069	170702005	Epilepsy monitoring (regime/therapy)
2070	275670009	Prescription exemption certificate (record artifact)
2071	959671000000106	Prostate specific antigen (PSA) monitoring short message service text message first invitation (procedure)
2072	315569004	Main spoken language Czech (finding)
2073	315572006	Main spoken language Gujerati (finding)
2074	273586006	Master questionnaire
2075	149671000000105	Health status questionnaire (record artifact)
2076	1083491000000105	Signposting to voluntary community service (procedure)
2077	248333004	Standing height
2078	515181000000102	Opportunistic verification of patient address
2079	736696002	Helicobacter pylori stool test positive
2080	314481009	Over the counter aspirin therapy (procedure)
2081	314435009	Preference for male healthcare professional (finding)
2082	306591000000103	Diabetes Structured Education Programme Declined
2083	361731000000101	Alcohol assessment declined (situation)
2084	1.59794E+15	Unable to perform information and communication technology activities (finding)
2085	281694009	Finding of at risk (finding)
2086	719943000	Provision of written information about diabetes and high hemoglobin A1c level
2087	867811000000105	Third Primary Immunisation Invitation second letter
2088	1083121000000102	Coronary heart disease (CHD) monitoring invitation
2089	182724005	Further asthma - drug prevention (regime/therapy)
2090	1218761000000105	National Health Service Bowel Cancer Screening Programme replacement faecal immunochemical test kit requested (situation)
2091	527401000000103	Lives with immunocompromised person (finding)
2092	377651000000102	Healthy lifestyle programme declined
2093	281036007	Follow-up consultation (procedure)
2094	160621008	Ex-cigar smoker (finding)
2095	716651000000106	Chronic kidney disease monitoring first letter
2096	1066281000000104	COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message invitation
2097	160357008	Family history: Hypertension (situation)
2098	375211000000108	Bowel cancer screening programme faecal occult blood test normal (finding)
2099	413125004	Referral to voluntary service
2100	777671000000105	Lower risk alcohol drinking (finding)
2101	1364751000000106	Enhanced review not indicated before granting access to own health record (situation)
2102	315598000	Lipid disorder monitoring (regime/therapy)
2103	1320961000000109	Sick, Control, One, Fat, Food questionnaire score (observable entity)
2104	1321701000000102	Does not have immunity to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
2105	243831005	Postnatal examination status (finding)
2106	811921000000103	Asthma self-management plan agreed
2107	159558008	Research survey clerk
2108	1082631000000102	Alcohol units consumed per day (observable entity)
2109	868091000000105	Second measles mumps rubella immunisation invitation third letter (procedure)
2110	882784691000119100	Pneumonia caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
2111	407567007	Patient on maximal tolerated antihypertensive therapy (finding)
2112	184770004	Miscellaneous certificate request (finding)
2113	162128006	Poor stream of urine
2114	715101000000108	Bowel cancer screening programme administration
2115	40384411000001105	Generic Comirnaty Children 5-11 years COVID-19 mRNA Vaccine 10micrograms/0.2ml dose concentrate for dispersion for injection multidose vials 10 dose
2116	513591000000106	Lithium Monitoring second letter
2117	309884000	Muslim
2118	895931000000104	Herpes zoster vaccination invitation
2119	417528008	Consent given for upload to local shared electronic record (finding)
2120	162864005	Body mass index 30+ - obesity (finding)
2121	1.10991E+15	Excepted from cervical screening quality indicators - no response to three invitations
2122	390790000	Asylum seeker (person)
2123	414941008	Onychomycosis (disorder)
2124	787641000000107	Medication monitoring third letter
2125	1.08438E+15	Signposting to smoking cessation service
2126	763726001	Refusal by patient to provide information about ethnic group
2127	1087551000000108	Medication review invitation
2128	271921002	Electrocardiogram finding (observable entity)
2129	161125007	Adult education
2130	857921000000103	Provision of written information about diabetes and driving
2131	1086611000000106	Frailty assessment
2132	48694002	Anxiety (finding)
2133	40917007	Clouded consciousness (finding)
2134	385981004	Safety education
2135	715879000	Provision of written information about diabetes and high cholesterol
2136	1322781000000102	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result positive
2137	237504004	Autonomous thyroid function (disorder)
2138	197940006	Microscopic hematuria
2139	823161000000100	Assessment declined (situation)
2140	73438004	Unemployed (finding)
2141	788007007	General practice service (qualifier value)
2142	928811000000105	Optimisation of clinical care
2143	863691000000105	Provision of written information about skin cancer (procedure)
2144	1084371000000102	Signposting to nurse practitioner (procedure)
2145	390862006	Good compliance with inhaler (finding)
2146	59978006	Cigar smoker (finding)
2147	1.32476E+15	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) immunisation course contraindicated
2148	909921000000109	Did not attend letter (record artifact)
2149	310353008	Referral for 24 hour BP recording
2150	183661002	Refer to hospital eye casualty (procedure)
2151	55442000	Paroxysmal nocturnal dyspnea (finding)
2152	160543007	Jewish
2153	866151004	Lymphocytopenia due to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
2154	1066861000000109	Chronic heart disease monitoring invitation SMS
2155	307818003	Weight monitoring (regime/therapy)
2156	428736000	Oxford knee score (observable entity)
2157	396152005	Prostate specific antigen above reference range (finding)
2158	720548009	Meningitis B vaccination declined (situation)
2159	12275351000119103	Breast cancer screening declined
2160	266940006	Lives in squat (finding)
2161	1149581000000106	Signposting to Minor Eye condition service
2162	161508001	History of deep vein thrombosis (situation)
2163	870752006	Finding related to health literacy (finding)
2164	249294004	Urine stream interrupted (finding)
2165	699826006	Lifestyle education regarding risk of diabetes (procedure)
2166	401207004	Medication side effects present (finding)
2167	802241000000106	Provision of patient questionnaire
2168	299161000000100	Haemophilus influenzae type B and meningitis C vaccination declined (situation)
2169	844941000000103	Influenza vaccination invitation email
2170	1187911000000105	Personalised Care and Support Plan agreed (finding)
2171	871870009	Able to demonstrate health literacy (finding)
2172	304563002	Informing relative (procedure)
2173	14461000000101	FP22 - practice advises outside of their area (finding)
2174	315595002	Interpreter not needed (finding)
2175	310424006	New patient screening invitation
2176	413764007	Carer of a person with sensory impairment
2177	811961000000106	Chronic obstructive pulmonary disease self-management plan agreed (finding)
2178	286369003	Unable to speak (finding)
2179	185007003	Insurance form received (finding)
2180	415628004	Stroke/TIA monitoring first letter
2181	185541004	Third patient "call" (procedure)
2182	162763007	O/E - weight
2183	927981000000106	Baseline SpO2 (oxygen saturation at periphery)
2184	394720003	Asthma Medication Review
2185	762791000000108	Provision of local National Health Service service information (procedure)
2186	1484821000000104	Influenza vaccination invitation short message service text message sent (situation)
2187	717221000000101	Atrial fibrillation monitoring first letter (procedure)
2188	963071000000109	Less than 150 minutes of moderate intensity physical activity per week (finding)
2189	1300561000000107	High risk category for developing complication from COVID-19 infection
2190	428207004	Oxford hip score (observable entity)
2191	171208001	Alcohol consumption screening (procedure)
2192	315588006	Main spoken language Urdu
2193	160654005	Willing to be donor (finding)
2194	249279003	Must strain to pass urine (finding)
2195	394700004	Asthma annual review
2196	185673004	BP abnormal - 1st recall
2197	92161000000104	Quality and Outcomes Framework asthma quality indicator-related care invitation using preferred method of communication (procedure)
2198	516161000000104	Impaired glucose tolerance monitoring invitation first letter (procedure)
2199	274668005	Non-cardiac chest pain (finding)
2200	171245007	Urine screening (procedure)
2201	1240781000000106	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination invitation SMS (short message service) text message sent
2202	199251000000107	Fast track cancer referral
2203	1108171000000102	Requires extended appointment (finding)
2204	717421000000100	Excepted from diabetes quality indicators - patient unsuitable
2205	90176007	Tonsillitis (disorder)
2206	39375411000001104	COVID-19 mRNA (nucleoside modified) Vaccine Moderna 0.1mg/0.5ml dose dispersion for injection multidose vials (Moderna, Inc) 10 dose (product)
2207	912681000000107	Long term condition care planning invitation first letter
2208	310376006	Immunization consent not given (finding)
2209	1321681000000104	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result equivocal
2210	440661002	Interferon gamma assay negative (finding)
2211	28743005	Productive cough
2212	763781008	Adult health examination declined (situation)
2213	936741000000100	Requires contact by email
2214	273511006	Modified health assessment questionnaire (assessment scale)
2215	1108111000000107	Requires reasonable adjustment for health and care access (Equality Act 2010) (finding)
2216	516911000000103	Attention deficit hyperactivity disorder monitoring invitation third letter (procedure)
2217	715759002	Provision of written information about diabetes and hypertension
2218	1325161000000102	Post-COVID-19 syndrome
2219	775181000000106	MMR vaccination invitation SMS text message sent
2220	43111411000001101	Comirnaty JN.1 COVID-19 mRNA Vaccine 30micrograms/0.3ml dose dispersion for injection multidose vials (Pfizer Ltd) (product)
2221	401251008	Coronary heart disease monitoring 2nd letter
2222	1083261000000103	Signposting to community transport service (procedure)
2223	439708006	Home visit (procedure)
2224	787581000000100	Medication monitoring administration
2225	266921000	Ex-trivial cigarette smoker (<1/day)
2226	817951000000100	Not socially isolated (situation)
2227	304540007	Advice to stop taking medication
2228	473074004	No history of dizziness (situation)
2229	415974002	Tympanic temperature
2230	1156270003	SARS-CoV-2 vaccination declined
2231	1104611000000109	Immunisation offered
2232	810421000000104	Change in medication declined
2233	185550002	Second patient recall
2234	882441000000109	Rheumatoid arthritis monitoring invitation third letter
